Timestamp, Block Number, Base Fee (Gwei)
2023-12-04T04:49:23.000Z, 18710723, 37.82017736
2023-12-04T04:49:35.000Z, 18710724, 40.549530341
2023-12-04T04:49:47.000Z, 18710725, 40.595831822
2023-12-04T04:49:59.000Z, 18710726, 40.326136797
2023-12-04T04:50:11.000Z, 18710727, 41.477162023
2023-12-04T04:50:23.000Z, 18710728, 41.324250244
2023-12-04T04:50:35.000Z, 18710729, 40.686636348
2023-12-04T04:50:47.000Z, 18710730, 38.993365685
2023-12-04T04:50:59.000Z, 18710731, 38.068885951
2023-12-04T04:51:11.000Z, 18710732, 38.357646064
2023-12-04T04:51:23.000Z, 18710733, 39.092262112
2023-12-04T04:51:35.000Z, 18710734, 39.914762003
2023-12-04T04:51:47.000Z, 18710735, 36.78666938
2023-12-04T04:51:59.000Z, 18710736, 41.320870399
2023-12-04T04:52:11.000Z, 18710737, 41.070860195
2023-12-04T04:52:23.000Z, 18710738, 41.591174943
2023-12-04T04:52:35.000Z, 18710739, 39.602720279
2023-12-04T04:52:47.000Z, 18710740, 41.111526497
2023-12-04T04:52:59.000Z, 18710741, 40.293256035
2023-12-04T04:53:11.000Z, 18710742, 40.604157791
2023-12-04T04:53:23.000Z, 18710743, 40.140938115
2023-12-04T04:53:35.000Z, 18710744, 39.465915389
2023-12-04T04:53:47.000Z, 18710745, 37.916465463
2023-12-04T04:53:59.000Z, 18710746, 39.251109564
2023-12-04T04:54:11.000Z, 18710747, 37.527448769
2023-12-04T04:54:23.000Z, 18710748, 38.009908217
2023-12-04T04:54:35.000Z, 18710749, 38.054878372
2023-12-04T04:54:47.000Z, 18710750, 37.454480531
2023-12-04T04:54:59.000Z, 18710751, 36.967906254
2023-12-04T04:55:11.000Z, 18710752, 36.397366078
2023-12-04T04:55:23.000Z, 18710753, 36.525775985
2023-12-04T04:55:35.000Z, 18710754, 34.895409014
2023-12-04T04:55:47.000Z, 18710755, 35.757131365
2023-12-04T04:55:59.000Z, 18710756, 34.805874865
2023-12-04T04:56:11.000Z, 18710757, 34.906609447
2023-12-04T04:56:23.000Z, 18710758, 35.932731992
2023-12-04T04:56:35.000Z, 18710759, 40.294481162
2023-12-04T04:56:47.000Z, 18710760, 38.58966028
2023-12-04T04:56:59.000Z, 18710761, 39.024533593
2023-12-04T04:57:11.000Z, 18710762, 38.781031561
2023-12-04T04:57:23.000Z, 18710763, 37.648193355
2023-12-04T04:57:35.000Z, 18710764, 35.566027707
